Start Time,End Time
2023-06-21T04:26:00.0,2023-06-21T04:27:00.0
2023-09-21T05:18:00.0,2023-09-21T05:19:00.0
2023-06-21T05:26:00.0,2023-06-21T05:27:00.0
2023-03-21T05:32:00.0,2023-03-21T05:33:00.0
2023-09-21T06:18:00.0,2023-09-21T06:19:00.0
2023-12-21T06:22:00.0,2023-12-21T06:23:00.0
2023-06-21T06:26:00.0,2023-06-21T06:27:00.0
2023-03-21T06:32:00.0,2023-03-21T06:33:00.0
2023-09-21T07:18:00.0,2023-09-21T07:19:00.0
2023-12-21T07:22:00.0,2023-12-21T07:23:00.0
2023-03-21T07:32:00.0,2023-03-21T07:33:00.0
2023-09-21T08:18:00.0,2023-09-21T08:19:00.0
2023-12-21T08:22:00.0,2023-12-21T08:23:00.0
2023-06-21T08:26:00.0,2023-06-21T08:27:00.0
2023-03-21T08:32:00.0,2023-03-21T08:33:00.0
2023-09-21T09:18:00.0,2023-09-21T09:19:00.0
2023-12-21T09:22:00.0,2023-12-21T09:23:00.0
2023-06-21T09:26:00.0,2023-06-21T09:27:00.0
2023-03-21T09:32:00.0,2023-03-21T09:33:00.0
2023-09-21T10:18:00.0,2023-09-21T10:19:00.0
2023-12-21T10:22:00.0,2023-12-21T10:23:00.0
2023-06-21T10:26:00.0,2023-06-21T10:27:00.0
2023-03-21T10:32:00.0,2023-03-21T10:33:00.0
2023-09-21T11:18:00.0,2023-09-21T11:19:00.0
2023-12-21T11:22:00.0,2023-12-21T11:23:00.0
2023-06-21T11:26:00.0,2023-06-21T11:27:00.0
2023-03-21T11:32:00.0,2023-03-21T11:33:00.0
2023-09-21T12:18:00.0,2023-09-21T12:19:00.0
2023-12-21T12:22:00.0,2023-12-21T12:23:00.0
2023-06-21T12:26:00.0,2023-06-21T12:27:00.0
2023-03-21T12:32:00.0,2023-03-21T12:33:00.0
2023-09-21T13:18:00.0,2023-09-21T13:19:00.0
2023-12-21T13:22:00.0,2023-12-21T13:23:00.0
2023-06-21T13:26:00.0,2023-06-21T13:27:00.0
2023-03-21T13:32:00.0,2023-03-21T13:33:00.0
2023-09-21T14:18:00.0,2023-09-21T14:19:00.0
2023-12-21T14:22:00.0,2023-12-21T14:23:00.0
2023-06-21T14:26:00.0,2023-06-21T14:27:00.0
2023-03-21T14:32:00.0,2023-03-21T14:33:00.0
2023-09-21T15:18:00.0,2023-09-21T15:19:00.0
2023-12-21T15:22:00.0,2023-12-21T15:23:00.0
2023-06-21T15:26:00.0,2023-06-21T15:27:00.0
2023-03-21T15:32:00.0,2023-03-21T15:33:00.0
2023-09-21T16:18:00.0,2023-09-21T16:19:00.0
2023-06-21T16:26:00.0,2023-06-21T16:27:00.0
2023-03-21T16:32:00.0,2023-03-21T16:33:00.0
2023-06-21T17:26:00.0,2023-06-21T17:27:00.0
