Observation period,Clear sky GHI
2023-03-21T04:30:00.0/2023-03-21T04:31:00.0,0.0
2023-03-21T04:31:00.0/2023-03-21T04:32:00.0,0.0
2023-03-21T04:32:00.0/2023-03-21T04:33:00.0,0.552
2023-03-21T04:33:00.0/2023-03-21T04:34:00.0,1.506
2023-03-21T04:34:00.0/2023-03-21T04:35:00.0,2.5799999999999996
2023-03-21T04:35:00.0/2023-03-21T04:36:00.0,3.708
2023-03-21T04:36:00.0/2023-03-21T04:37:00.0,4.901999999999999
2023-03-21T04:37:00.0/2023-03-21T04:38:00.0,6.174
2023-03-21T04:38:00.0/2023-03-21T04:39:00.0,7.5120000000000005
2023-03-21T04:39:00.0/2023-03-21T04:40:00.0,8.916
2023-03-21T04:40:00.0/2023-03-21T04:41:00.0,10.392
2023-03-21T04:41:00.0/2023-03-21T04:42:00.0,11.928
2023-03-21T04:42:00.0/2023-03-21T04:43:00.0,13.524
2023-03-21T04:43:00.0/2023-03-21T04:44:00.0,15.186
2023-03-21T04:44:00.0/2023-03-21T04:45:00.0,16.908
2023-03-21T04:45:00.0/2023-03-21T04:46:00.0,18.69
2023-03-21T04:46:00.0/2023-03-21T04:47:00.0,20.526
2023-03-21T04:47:00.0/2023-03-21T04:48:00.0,22.421999999999997
2023-03-21T04:48:00.0/2023-03-21T04:49:00.0,24.372
2023-03-21T04:49:00.0/2023-03-21T04:50:00.0,26.375999999999998
2023-03-21T04:50:00.0/2023-03-21T04:51:00.0,28.433999999999997
2023-03-21T04:51:00.0/2023-03-21T04:52:00.0,30.54
2023-03-21T04:52:00.0/2023-03-21T04:53:00.0,32.7
2023-03-21T04:53:00.0/2023-03-21T04:54:00.0,34.902
2023-03-21T04:54:00.0/2023-03-21T04:55:00.0,37.158
2023-03-21T04:55:00.0/2023-03-21T04:56:00.0,39.455999999999996
2023-03-21T04:56:00.0/2023-03-21T04:57:00.0,41.802
2023-03-21T04:57:00.0/2023-03-21T04:58:00.0,44.190000000000005
2023-03-21T04:58:00.0/2023-03-21T04:59:00.0,46.626
2023-03-21T04:59:00.0/2023-03-21T05:00:00.0,49.098
2023-03-21T05:00:00.0/2023-03-21T05:01:00.0,51.611999999999995
2023-03-21T05:01:00.0/2023-03-21T05:02:00.0,54.168000000000006
2023-03-21T05:02:00.0/2023-03-21T05:03:00.0,56.754
2023-03-21T05:03:00.0/2023-03-21T05:04:00.0,59.382000000000005
2023-03-21T05:04:00.0/2023-03-21T05:05:00.0,62.052
2023-03-21T05:05:00.0/2023-03-21T05:06:00.0,64.746
2023-03-21T05:06:00.0/2023-03-21T05:07:00.0,67.482
2023-03-21T05:07:00.0/2023-03-21T05:08:00.0,70.248
2023-03-21T05:08:00.0/2023-03-21T05:09:00.0,73.044
2023-03-21T05:09:00.0/2023-03-21T05:10:00.0,75.87599999999999
2023-03-21T05:10:00.0/2023-03-21T05:11:00.0,78.732
2023-03-21T05:11:00.0/2023-03-21T05:12:00.0,81.62400000000001
2023-03-21T05:12:00.0/2023-03-21T05:13:00.0,84.54
2023-03-21T05:13:00.0/2023-03-21T05:14:00.0,87.48
2023-03-21T05:14:00.0/2023-03-21T05:15:00.0,90.45
2023-03-21T05:15:00.0/2023-03-21T05:16:00.0,93.45
2023-03-21T05:16:00.0/2023-03-21T05:17:00.0,96.46799999999999
2023-03-21T05:17:00.0/2023-03-21T05:18:00.0,99.51
2023-03-21T05:18:00.0/2023-03-21T05:19:00.0,102.576
2023-03-21T05:19:00.0/2023-03-21T05:20:00.0,105.66600000000001
2023-03-21T05:20:00.0/2023-03-21T05:21:00.0,108.774
2023-03-21T05:21:00.0/2023-03-21T05:22:00.0,111.906
2023-03-21T05:22:00.0/2023-03-21T05:23:00.0,115.062
2023-03-21T05:23:00.0/2023-03-21T05:24:00.0,118.22999999999999
2023-03-21T05:24:00.0/2023-03-21T05:25:00.0,121.416
2023-03-21T05:25:00.0/2023-03-21T05:26:00.0,124.626
2023-03-21T05:26:00.0/2023-03-21T05:27:00.0,127.84799999999998
2023-03-21T05:27:00.0/2023-03-21T05:28:00.0,131.088
2023-03-21T05:28:00.0/2023-03-21T05:29:00.0,134.346
2023-03-21T05:29:00.0/2023-03-21T05:30:00.0,137.616
2023-03-21T05:30:00.0/2023-03-21T05:31:00.0,140.904
2023-03-21T05:31:00.0/2023-03-21T05:32:00.0,144.204
2023-03-21T05:32:00.0/2023-03-21T05:33:00.0,147.51600000000002
2023-03-21T05:33:00.0/2023-03-21T05:34:00.0,150.846
2023-03-21T05:34:00.0/2023-03-21T05:35:00.0,154.18200000000002
2023-03-21T05:35:00.0/2023-03-21T05:36:00.0,157.536
2023-03-21T05:36:00.0/2023-03-21T05:37:00.0,160.896
2023-03-21T05:37:00.0/2023-03-21T05:38:00.0,164.268
2023-03-21T05:38:00.0/2023-03-21T05:39:00.0,167.652
